"industry","class_code_fct","special_class","yr_2018","yr_2019","yr_2020","yr_2021","yr_2022","delta_18_19","delta_19_20","delta_20_21","delta_21_22","type_21_22","class_code_type"
"Contracting","0042",NA,3.59,3.15,2.83,2.86,2.48,-0.122562674094708,-0.101587301587302,0.0106007067137808,-0.132867132867133,"-10-20%","LIVE CODE"
"Contracting","0050",NA,3.69,3.22,3.06,3.13,3.28,-0.127371273712737,-0.0496894409937889,0.022875816993464,0.0479233226837061,"0-5%","LIVE CODE"
"Contracting","1322",NA,6.38,5.45,4.73,4.74,4.75,-0.14576802507837,-0.132110091743119,0.0021141649048626,0.00210970464135007,"0-5%","LIVE CODE"
"Contracting","2799",NA,4.8,4.09,3.73,3.39,3.06,-0.147916666666667,-0.0880195599022005,-0.0911528150134048,-0.0973451327433629,"-10-20%","LIVE CODE"
"Contracting","3365",NA,3.96,3.34,2.99,2.86,2.77,-0.156565656565657,-0.104790419161677,-0.0434782608695653,-0.0314685314685315,"-0-5%","LIVE CODE"
"Contracting","3719",NA,0.89,0.76,0.66,0.6,0.5,-0.146067415730337,-0.131578947368421,-0.0909090909090909,-0.166666666666667,"-10-20%","LIVE CODE"
"Contracting","3724",NA,2.17,2.1,1.85,1.91,2.05,-0.032258064516129,-0.119047619047619,0.0324324324324323,0.0732984293193717,"5-10%","LIVE CODE"
"Contracting","3726",NA,3.68,3.14,2.65,2.56,2.53,-0.146739130434783,-0.156050955414013,-0.0339622641509434,-0.0117187500000001,"-0-5%","LIVE CODE"
"Contracting","5020",NA,5.24,4.47,3.6,3.35,3.03,-0.146946564885496,-0.194630872483221,-0.0694444444444444,-0.0955223880597016,"-10-20%","LIVE CODE"
"Contracting","5022",NA,5.67,4.97,4.34,4.03,3.68,-0.123456790123457,-0.126760563380282,-0.0714285714285713,-0.0868486352357321,"-10-20%","LIVE CODE"
"Contracting","5037",NA,10.39,8.62,7.46,7.13,6.04,-0.170356111645813,-0.134570765661253,-0.0442359249329759,-0.152875175315568,"-10-20%","LIVE CODE"
"Contracting","5040",NA,4.79,4.75,4.64,5.15,4.75,-0.00835073068893533,-0.0231578947368422,0.109913793103448,-0.0776699029126214,"-10-20%","LIVE CODE"
"Contracting","5057",NA,4.23,3.65,3.31,3.44,3.1,-0.137115839243499,-0.0931506849315068,0.0392749244712991,-0.0988372093023255,"-10-20%","LIVE CODE"
"Contracting","5059",NA,16.4,13.18,11.67,12.17,11.62,-0.196341463414634,-0.114567526555387,0.0428449014567267,-0.0451930977814298,"-0-5%","LIVE CODE"
"Contracting","5102",NA,3.91,3.61,3.53,3.61,3.17,-0.0767263427109975,-0.0221606648199446,0.0226628895184136,-0.121883656509695,"-10-20%","LIVE CODE"
"Contracting","5146",NA,3.59,3.19,2.73,2.53,2.45,-0.11142061281337,-0.144200626959248,-0.0732600732600733,-0.0316205533596836,"-0-5%","LIVE CODE"
"Contracting","5160",NA,1.73,1.68,1.54,1.49,1.26,-0.0289017341040463,-0.0833333333333333,-0.0324675324675325,-0.154362416107383,"-10-20%","LIVE CODE"
"Contracting","5183",NA,2.74,2.21,1.86,1.91,1.88,-0.193430656934307,-0.158371040723982,0.0268817204301075,-0.0157068062827225,"-0-5%","LIVE CODE"
"Contracting","5188",NA,3.55,2.59,2.03,1.88,1.71,-0.270422535211268,-0.216216216216216,-0.0738916256157635,-0.0904255319148936,"-10-20%","LIVE CODE"
"Contracting","5190",NA,2.87,2.3,1.97,1.82,1.76,-0.198606271777004,-0.143478260869565,-0.0761421319796954,-0.032967032967033,"-0-5%","LIVE CODE"
"Contracting","5213",NA,5.94,4.79,4.1,3.62,3.47,-0.193602693602694,-0.144050104384134,-0.117073170731707,-0.0414364640883977,"-0-5%","LIVE CODE"
"Contracting","5215",NA,3.77,3.95,3.48,3.15,2.89,0.0477453580901857,-0.118987341772152,-0.0948275862068966,-0.0825396825396825,"-10-20%","LIVE CODE"
"Contracting","5221",NA,3.34,2.83,2.68,2.37,2.19,-0.152694610778443,-0.0530035335689045,-0.115671641791045,-0.0759493670886077,"-10-20%","LIVE CODE"
"Contracting","5222",NA,5.43,4.93,4.52,4.17,4.04,-0.0920810313075506,-0.0831643002028398,-0.077433628318584,-0.0311750599520384,"-0-5%","LIVE CODE"
"Contracting","5223",NA,5.03,4.36,3.97,3.43,2.87,-0.133200795228628,-0.0894495412844037,-0.136020151133501,-0.163265306122449,"-10-20%","LIVE CODE"
"Contracting","5348",NA,3.3,2.75,2.55,2.47,2.25,-0.166666666666667,-0.0727272727272728,-0.0313725490196077,-0.0890688259109312,"-10-20%","LIVE CODE"
"Contracting","5402",NA,3.15,2.88,3.06,3.27,3.5,-0.0857142857142857,0.0625,0.0686274509803921,0.070336391437309,"5-10%","LIVE CODE"
